date,value
1997,7.1
1998,7.5
1999,6.8
2000,6.9
2001,7.3
2002,7
2003,7.3
2004,7.1
2005,7.2
2006,7.3
2007,6.7
2008,7.6
2009,7.3
2010,7.4
2011,7.5
2012,6.2
2013,7.1
2014,7.1
2015,6.5
2016,6.2
2017,6.8
2018,7
